text_a,text_b,score
郑和,郑和,0.9
阿萨德,演员,0.05
孤寂,井底青蛙,0.03
摄梦人,李清照,0.07
卧薪尝胆,四面楚歌,0.03
猫,猫咪,0.9
猫咪,狗,0.1
猫咪,诸葛亮,0.05
狗,猫咪,0.1
守护神,煎饼,0.06
忐忑,忐忑,0.95
月份,陆游,0.05
狗咬吕洞宾,狗咬吕洞宾,0.98
陆游,月份,0.05
李白,咖喱,0.06
咒术回战,日食,0.04
火影,海贼王,0.8
合成,白虎,0.08
关羽,云长,0.88
洗碗,海贼王,0.06
猫咪,诸葛亮,0.05
猫咪,诸葛亮,0.05
海岸,按兵不动,0.06
潜狼,春节,0.08
灵笼,灵笼,0.93
望梅止渴,望梅止渴,0.99
海贼王,火影,0.8
玄德,刘备,0.88
刘备,玄德,0.88
唇亡齿寒,果汁,0.07
诗圣,杜甫,0.88
通话,孟子,0.1
白蛇缘起,触龙说赵,0.06
语文,期待,0.09
黑洞,跳跃,0.08
王羲之,晴天,0.06
阿萨德,演员,0.05
月份,陆游,0.05
欣慰,看海,0.06
风之谷,调休,0.09
天空之城,秃子头上,0.03
孔明,诸葛亮,0.9
关羽,云长,0.88
八面玲珑,饕餮,0.08
秧歌,同舟共济,0.07
诸葛亮,猫咪,0.05
林俊杰,林俊杰,0.93
向导,向导,0.97
海贼王,火影,0.8
诸葛亮,孔明,0.9
陆游,月份,0.05
午休,演员,0.06
班固,林黛玉,0.06
鲛人,守卫,0.02
通灵师,火锅,0.04
小暑,小暑,0.95
孔明,诸葛亮,0.9
天体,天体,0.98
泡芙,泡芙,0.93
音乐,释然,0.04
匆匆那年,匆匆那年,0.96
草船借箭,草船借箭,0.94
羞涩,河伯,0.08
大暑,大暑,0.97
猫咪,猫,0.9
海贼王,火影,0.8
羡慕,地质,0.03
瞎子摸象,瞎子摸象,0.95
观光,收拾,0.06
应龙,园艺,0.04
背诵,煎饼,0.05
关羽,编钟,0.07
做笔记,晒衣,0.07
猫咪,猫,0.9
红豆,网球王子,0.06
后来我们,匆匆那年,0.06
关羽,刮骨疗毒,0.85
诸葛亮,猫咪,0.05
诸葛亮,猫咪,0.05
外卖,外卖,0.91
太阳系,惊恐,0.03
整理,海湾,0.05
后来我们,单机,0.06
画蛇添足,日报,0.09
政治,政治,0.98
祖冲之,郑和,0.07
花木兰,魔女宅急便,0.05
音乐,卫星,0.04
写作,催办,0.04
馒头,孔子,0.05
猫咪,猫,0.9
集章,销假,0.07
海贼王,火影,0.8
测验,溪流,0.06
狼狈为奸,狼狈为奸,0.95
十年,统计,0.05
释然,猎人,0.03
鹤立鸡群,鹤立鸡群,0.91
猫咪,猫,0.9
徒步,下线,0.04
整理,光年之外,0.07
露台,露台,0.92
恒星,通风,0.06
貔貅,寒露,0.07
排查,夏目友人帐,0.07
按兵不动,按兵不动,0.94
诗圣,杜甫,0.88
平凡之路,龙猫,0.09
失落,守口如瓶,0.08
陶瓷,做笔记,0.04
关羽,刮骨疗毒,0.85
投笔从戎,豆腐,0.03
杜甫,诗圣,0.88
麻雀虽小,青铜,0.05
言叶之庭,拍照,0.03
月份,陆游,0.05
持之以恒,血月使者,0.07
社会,张杰,0.09
周杰伦,蜻蜓点水,0.06
越剧,禁言长老,0.06
狼王,刘德华,0.08
杜甫,诗圣,0.88
投标,影子,0.04
踢踏,天文,0.03
炸鸡,青花瓷,0.04
轨道,释然,0.04
诸葛亮,挟天子,0.05
女娲,望梅止渴,0.05
判官,海浪,0.06
茶园,投笔从戎,0.04
